point,best signal AP,DB,closest distance AP,distance mile,Out_small,In_small,In_large
fh_2_1,FH-AP-272,-56, FH-AP-570_Suite,0.0016805323,546.509230116,12580.6494140625,10754.3644260438
fh_2_10,FH-AP-228,-62, FH-AP-5thFlrSE,0.006200827,638.1502922141,11741.939453125,10171.0327435662
fh_2_11,FH-AP-228,-54, FH-AP-228,0.0074141815,624.8015452317,6709.6796875,7759.7345249859
fh_2_12,FH-AP-204,-74, FH-AP-423,0.0027109055,731.3364299132,1347.1096964564,4063.1911338989
fh_2_13,FH-AP-228,-50, FH-AP-228,0.0050112378,704.9700901842,5032.259765625,5856.9476192375
fh_2_14,FH-AP-2ndFlrW_DC,-53, FH-AP-516,0.0026641698,803.9755080098,4696.77578125,3248.8984945036
fh_2_15,FH-AP-2ndFlrW_DC,-57, FH-AP-2ndFlrW_DC,0.0033608346,506.5161505038,3461.1469186307,2413.8437311106
fh_2_16,FH-AP-228,-76, FH-AP-2ndFlrW_DC,0.0078387587,619.3352529365,3071.4575387666,2314.3776365545
fh_2_17,FH-AP-204,-71, FH-AP-5thFlrWest,0.0043981717,626.2878376926,6709.6796875001,7826.5191254059
fh_2_18,FH-AP-2ndFlrW_DC,-56, FH-AP-310a,0.0010437601,661.5222430657,5080.1860491072,7459.3560387095
fh_2_19,FH-AP-416DC,-77, FH-AP-3rdDC,0.0027149998,605.6466579766,11741.939453125,9441.0596009498
fh_2_2,FH-AP-272,-46, FH-AP-272,0.000614961,671.5277306817,11741.939453125,20396.4940011161
fh_2_20,FH-AP-228,-69, FH-AP-302,0.004397442,644.6941209866,12580.6494140625,12811.6348300137
fh_2_21,FH-AP-228,-70, FH-AP-302,0.0008089348,589.5748201143,5787.0987304688,7558.5856689591
fh_2_22,FH-AP-204,-35, FH-AP-204,0.0006126754,742.2180414785,25161.298828125,21909.7523179945
fh_2_23,FH-AP-204,-42, FH-AP-5thFlrSE,0.0026360767,904.7190119725,25161.298828125,19278.529832883
fh_2_3,FH-AP-123,-59, FH-AP-560_Entrance,0.0026751457,785.2093637349,12580.6494140625,16474.0913085938
fh_2_4,FH-AP-2ndFlr_East_DC,-53, FH-AP-345_DC,0.003599044,628.0372747593,17612.9091796875,18344.7756696429
fh_2_5,FH-AP-2ndFlr_East_DC,-60, FH-AP-4th-Flr-DC,0.0061296619,576.7679551402,8387.099609375,8306.5302328086
fh_2_6,FH-AP-2ndFlr_East_DC,-50, FH-AP-2ndFlr_East_DC,0.0022684532,645.0840052452,10903.2294921875,11966.1907151442
fh_2_7,FH-AP-250,-44, FH-AP-250,0.0046568527,659.5344400005,7967.7446289063,8887.8392926773
fh_2_8,FH-AP-250,-37, FH-AP-250,0.0001482131,672.3824597556,6877.4216796875,6827.4391710069
fh_2_9,FH-AP-2ndFlr_East_DC,-52, FH-AP-345_DC,0.003034807,682.1302869114,6290.3247070313,6629.0912533236
fh_3_1,FH-AP-450,-67, FH-AP-450,0.0081182792,733.4138797013,1617.2048477564,2349.8287578101
fh_3_10,FH-AP-370,-46, FH-AP-370,0.0042594077,856.4757384352,12580.6494140625,11771.8499742445
fh_3_11,FH-AP-570_Suite,-74, FH-AP-570_Suite,0.0009980439,746.2347092102,15096.779296875,15623.7802353896
fh_3_12,FH-AP-570_Suite,-74, FH-AP-570_Suite,0.0059901016,850.8117231146,2099.9144583473,7283.5247803667
fh_3_13,FH-AP-2ndFlr_East_DC,-61, FH-AP-4th-Flr-DC,0.0035139263,645.1649238887,11532.2619628906,13446.0061385086
fh_3_14,FH-AP-302,-72, FH-AP-2ndFlr_East_DC,0.0080344336,823.1882290409,20129.0390625,23534.4161551339
fh_3_15,FH-AP-423,-73, FH-AP-423,0.0065606575,695.1761473849,12580.6494140625,11452.0748697917
fh_3_16,FH-AP-302,-49, FH-AP-302,0.0010105749,761.46768927,11741.939453125,10158.0172293527
fh_3_17,FH-AP-302,-55, FH-AP-505_Hallway,0.0017458365,832.7191755022,11741.939453125,21422.3531668527
fh_3_18,FH-AP-310a,-47, FH-AP-310a,0.0016198213,693.520694871,8387.099609375,9718.2506127451
fh_3_19,FH-AP-310a,-62, FH-AP-310a,0.0046598438,840.5808319174,7129.0346679688,7698.5153079343
fh_3_2,FH-AP-250,-62, FH-AP-250,0.003577608,652.6734984529,3082.9503509186,3014.4048143876
fh_3_20,FH-AP-5thFlrSE,-55, FH-AP-345_DC,0.0051170565,671.7298231719,9944.7038225446,12230.9426574115
fh_3_21,FH-AP-529,-75, FH-AP-529,0.0050909249,611.1869804146,12580.6494140625,12737.3644831731
fh_3_22,FH-AP-228,-58, FH-AP-423,0.0011172847,757.5901692679,6458.0666992188,10419.5107421875
