FH-AP-111_HydroLab,e8:40:40:df:61:a0,40:55:39:8e:08:57,134.193.131.73
FH-AP-123,f4:0f:1b:58:00:70,f4:0f:1b:41:0d:4c,134.193.131.70
FH-AP-204,2c:36:f8:b9:0b:60,f0:f7:55:75:f2:e7,134.193.131.60
FH-AP-228,2c:36:f8:b6:03:80,f0:f7:55:f1:79:ad,134.193.131.51
FH-AP-250,2c:36:f8:b8:dc:90,f0:f7:55:75:f3:eb,134.193.131.66
FH-AP-272,f4:0f:1b:0e:f4:90,f4:0f:1b:04:2f:2c,134.193.131.78
FH-AP-2ndFlr_East_DC,e8:40:40:cc:a2:30,40:55:39:8e:08:10,134.193.131.64
FH-AP-2ndFlrW_DC,e8:40:40:df:70:10,40:55:39:97:c3:3c,134.193.131.55
FH-AP-302,f4:0f:1b:52:de:f0,f4:0f:1b:40:ff:84,134.193.131.74
FH-AP-310a,f4:0f:1b:27:ad:40,f4:0f:1b:1a:50:a4,134.193.131.76
FH-AP-334,c4:0a:cb:de:bb:20,c4:64:13:38:cd:aa,134.193.131.68
FH-AP-345_DC,50:06:04:6e:65:70,4c:4e:35:60:3d:20,134.193.131.59
FH-AP-370,f4:0f:1b:29:38:70,50:87:89:d4:d1:0c,134.193.131.54
FH-AP-3rdDC,1c:aa:07:16:20:b0,64:00:f1:c5:cf:1c,134.193.131.61
FH-AP-403,2c:36:f8:b6:14:00,f0:f7:55:c7:65:47,134.193.131.67
FH-AP-416DC,08:cc:68:62:9e:f0,7c:ad:74:28:42:38,134.193.131.48
FH-AP-423,e8:40:40:df:73:10,40:55:39:8e:09:08,134.193.131.50
FH-AP-450,f0:29:29:2b:fc:70,b0:fa:eb:47:c3:fc,134.193.130.246
FH-AP-457,f4:0f:1b:29:36:f0,f4:0f:1b:10:fb:b4,134.193.131.72
FH-AP-4th-Flr-DC,f4:0f:1b:57:fd:40,f4:0f:1b:41:0c:80,134.193.131.79
FH-AP-505_Hallway,f4:1f:c2:fa:25:c0,bc:16:65:66:a4:0f,134.193.131.49
FH-AP-516,e8:40:40:df:6b:00,40:55:39:8e:08:4c,134.193.131.69
FH-AP-529,c4:0a:cb:ea:97:e0,c4:64:13:38:cc:4e,134.193.131.62
FH-AP-547,f4:1f:c2:98:b3:b0,bc:16:65:16:78:24,134.193.131.52
FH-AP-560_Entrance,f4:1f:c2:98:c2:10,bc:16:65:16:79:00,134.193.131.53
FH-AP-570_Suite,50:06:04:6e:68:70,4c:4e:35:60:3d:56,134.193.131.80
FH-AP-5thFlrDC,e8:40:40:df:57:b0,40:55:39:8e:07:e2,134.193.131.63
FH-AP-5thFlrSE,2c:36:f8:b8:29:b0,f0:f7:55:79:5c:36,134.193.131.65
FH-AP-5thFlrWest,44:e4:d9:bd:90:80,c8:9c:1d:46:91:10,134.193.131.71
HH-AP-101A,50:06:04:c2:fe:20,4c:4e:35:0d:45:be,134.193.89.128
HH-AP-105,b4:e9:b0:b5:c7:60,00:06:f6:4d:7a:fe,134.193.89.115
HH-AP-107B,20:bb:c0:e7:0f:f0,b0:fa:eb:88:77:73,134.193.89.148
HH-AP-204D,e8:40:40:df:77:10,40:55:39:97:c3:66,134.193.89.159
HH-AP-213,00:fe:c8:be:b4:c0,00:fe:c8:91:a9:d4,134.193.89.101
HH-AP-302,20:bb:c0:2c:73:e0,00:06:f6:cd:0a:1a,134.193.89.122
HH-AP-314,00:fe:c8:2e:98:30,00:fe:c8:31:d3:94,134.193.89.105
RH-AP-104_Hallway,50:06:04:ba:21:20,b0:fa:eb:47:e6:5b,134.193.94.118
RH-AP-111_East,20:bb:c0:67:44:40,4c:4e:35:0d:2a:60,134.193.94.120
RH-AP-111_North,20:bb:c0:67:46:e0,4c:4e:35:0d:2a:8d,134.193.94.37
RH-AP-111_West,50:06:04:ba:17:f0,b0:fa:eb:47:e5:c0,134.193.94.123
RH-AP-1stFlrDC,f4:0f:1b:10:a7:70,f4:0f:1b:03:05:f8,134.193.94.134
RH-AP-2ndFlr_West_Hallway,50:06:04:6e:78:d0,4c:4e:35:60:3e:5d,134.193.94.133
RH-AP-303,f4:0f:1b:47:43:d0,f4:0f:1b:38:53:ac,134.193.94.50
RH-AP-309_DC,50:06:04:ba:08:c0,b0:fa:eb:47:e4:cf,134.193.94.69
RH-AP-408c_DC,20:bb:c0:67:05:c0,4c:4e:35:60:3d:1f,134.193.94.132
RH-AP-410A,70:10:5c:83:3c:50,7c:ad:74:28:2c:60,134.193.94.87
